industry,year,beta_mean,beta_std,N,window
Wholesale Trade,2019,0.9985661697742131,0.9723336156446077,10,24m
Wholesale Trade,2020,1.1937164758552516,0.43105345126914496,10,24m
Wholesale Trade,2021,2.278374657870964,2.341518915215687,10,24m
Wholesale Trade,2022,1.2276547280856642,0.5760608884290228,10,24m
Wholesale Trade,2023,1.3448606760101751,0.8797636431330836,10,24m
"Agriculture, Forestry & Fishing",1997,0.9231718653663409,1.1502614587144813,6,36m
"Agriculture, Forestry & Fishing",1998,-0.4186413004446083,2.1856482261333627,8,36m
"Agriculture, Forestry & Fishing",1999,0.7609285846794471,0.37202242261966195,9,36m
"Agriculture, Forestry & Fishing",2000,0.3033666888835642,0.5526266842572114,10,36m
"Agriculture, Forestry & Fishing",2001,0.2908130914013487,0.4600198459803545,10,36m
"Agriculture, Forestry & Fishing",2002,0.23317493064951672,0.34048241843661614,8,36m
"Agriculture, Forestry & Fishing",2003,0.5264020825128575,0.32454898872130716,10,36m
"Agriculture, Forestry & Fishing",2004,0.6660702970177652,0.35983445862183105,8,36m
"Agriculture, Forestry & Fishing",2005,1.1372840656580296,1.1204856561922543,8,36m
"Agriculture, Forestry & Fishing",2006,0.5388520508994266,1.134500738933268,9,36m
"Agriculture, Forestry & Fishing",2007,0.45339101478143073,0.6553954977031848,7,36m
"Agriculture, Forestry & Fishing",2008,0.8515441635600437,0.3813772274330869,6,36m
"Agriculture, Forestry & Fishing",2009,1.3299947184161194,1.08701681264318,9,36m
"Agriculture, Forestry & Fishing",2010,1.2518033815655965,0.8537382323504016,9,36m
