Date,Signal,Position,AccountValue
2012-08-13,1,10,10132.128529548645
2012-08-14,1,20,10132.732090950012
2012-08-15,0,20,10132.117810249329
2012-08-16,0,20,10136.053547859192
2012-08-17,0,20,10144.460682868958
2012-08-20,0,20,10156.63212299347
2012-08-21,0,20,10150.139241218567
2012-08-22,0,20,10159.28925037384
2012-08-23,0,20,10154.832119941711
2012-08-24,0,20,10155.253529548645
2012-08-27,0,20,10164.153561592102
2012-08-28,0,20,10163.524975776672
2012-08-29,-1,0,10162.574963569641
2012-08-30,0,0,10162.574963569641
2012-08-31,0,0,10162.574963569641
2012-09-04,0,0,10162.574963569641
2012-09-05,0,0,10162.574963569641
2012-09-06,0,0,10162.574963569641
2012-09-07,0,0,10162.574963569641
2012-09-10,0,0,10162.574963569641
2012-09-11,0,0,10162.574963569641
2012-09-12,0,0,10162.574963569641
2012-09-13,0,0,10162.574963569641
2012-09-14,1,10,10162.574963569641
2012-09-17,1,20,10165.61068058014
2012-09-18,0,20,10167.132096290588
2012-09-19,0,20,10167.2678232193
2012-09-20,0,20,10164.839234352112
2012-09-21,0,20,10165.832085609436
2012-09-24,0,20,10159.18920993805
2012-09-25,-1,0,10146.867814064026
2012-09-26,0,0,10146.867814064026
2012-09-27,0,0,10146.867814064026
2012-09-28,0,0,10146.867814064026
2012-10-01,0,0,10146.867814064026
2012-10-02,0,0,10146.867814064026
2012-10-03,0,0,10146.867814064026
2012-10-04,0,0,10146.867814064026
2012-10-05,0,0,10146.867814064026
2012-10-08,0,0,10146.867814064026
2012-10-09,0,0,10146.867814064026
2012-10-10,0,0,10146.867814064026
2012-10-11,0,0,10146.867814064026
2012-10-12,0,0,10146.867814064026
2012-10-15,0,0,10146.867814064026
2012-10-16,1,10,10146.867814064026
2012-10-17,0,10,10145.017819404602
2012-10-18,-1,0,10140.74282169342
2012-10-19,0,0,10140.74282169342
2012-10-22,0,0,10140.74282169342
2012-10-23,0,0,10140.74282169342
2012-10-24,0,0,10140.74282169342
2012-10-25,0,0,10140.74282169342
2012-10-26,0,0,10140.74282169342
2012-10-31,0,0,10140.74282169342
2012-11-01,0,0,10140.74282169342
2012-11-02,0,0,10140.74282169342
2012-11-05,0,0,10140.74282169342
2012-11-06,0,0,10140.74282169342
2012-11-07,0,0,10140.74282169342
2012-11-08,0,0,10140.74282169342
2012-11-09,0,0,10140.74282169342
2012-11-12,0,0,10140.74282169342
2012-11-13,0,0,10140.74282169342
2012-11-14,0,0,10140.74282169342
2012-11-15,0,0,10140.74282169342
2012-11-16,0,0,10140.74282169342
2012-11-19,0,0,10140.74282169342
2012-11-20,0,0,10140.74282169342
